Id,Year,Certificate,Duration (min),Genre,Rating
1009,17,10,47,51,61
1010,17,20,36,194,47
1011,17,10,34,384,48
1012,17,20,56,317,64
1013,17,24,36,225,45
1014,39,24,42,41,42
1015,39,24,79,7,55
1016,39,24,60,35,53
1017,39,10,45,12,46
1018,39,21,31,138,55
1019,39,10,62,21,47
1020,39,10,54,210,56
1021,39,21,88,346,57
1022,39,7,60,209,63
1023,39,24,123,5,60
1024,39,21,74,350,59
1025,39,24,69,5,59
1026,39,21,40,104,55
1027,39,10,55,206,53
1028,39,20,53,267,50
1029,39,20,78,170,56
1030,39,24,28,203,49
1031,39,21,78,43,44
1032,39,10,83,38,58
1033,39,7,38,382,50
1034,39,21,22,164,62
1035,39,24,36,21,52
1036,39,10,30,206,52
1037,39,24,54,3,54
1038,39,19,43,24,38
1039,39,10,26,273,53
1040,39,10,40,384,45
1041,39,10,68,41,56
1042,39,24,68,5,47
1043,39,19,28,198,45
1044,39,24,58,264,62
1045,39,10,59,58,52
1046,39,21,81,5,51
1047,39,24,44,346,50
1048,39,3,47,200,44
1049,39,0,96,263,60
1050,39,24,37,3,54
1051,39,24,49,21,52
1052,39,24,80,12,48
1053,39,10,52,385,55
1054,39,24,69,12,45
1055,39,21,45,188,59
1056,39,21,84,110,54
1057,39,18,40,145,52
1058,39,24,75,7,48
1059,39,10,59,27,60
1060,39,17,38,245,47
1061,50,10,78,16,52
1062,50,21,25,145,59
1063,50,24,53,105,37
1064,50,10,46,334,47
1065,50,20,60,41,54
1066,50,20,45,272,46
1067,50,21,33,138,53
1068,50,5,34,198,56
1069,50,24,73,316,48
1070,50,10,50,74,61
1071,50,21,54,12,52
1072,50,21,67,188,65
1073,50,24,26,186,52
1074,50,10,38,58,35
1075,50,24,68,347,59
1076,50,21,67,255,65
1077,50,24,107,7,53
1078,50,10,48,300,55
1079,50,19,46,250,48
1080,50,20,31,49,37
1081,50,10,58,20,52
1082,50,10,54,245,47
1083,50,21,56,359,63
1084,50,7,56,198,60
1085,50,20,52,65,46
1086,50,21,55,172,62
1087,50,21,112,326,56
1088,50,24,81,109,60
1089,50,10,75,347,66
1090,50,24,89,12,47
1091,50,21,118,114,62
1092,50,20,29,260,47
1093,50,20,30,76,31
1094,50,24,68,13,47
1095,50,21,46,24,48
1096,50,21,72,138,65
1097,50,21,81,12,56
1098,50,26,37,86,43
1099,50,21,33,145,54
1100,50,21,55,350,57
1101,50,10,60,41,52
1102,50,21,42,145,59
1103,50,0,39,300,54
1104,50,10,39,46,54
1105,50,20,35,267,52
1106,13,10,42,384,48
1107,13,21,35,5,51
1108,13,10,67,170,63
1109,13,24,60,76,38
1110,13,24,37,228,61
1111,13,20,46,63,49
1112,13,20,67,175,47
1113,13,7,76,267,53
1114,13,10,49,300,58
1115,13,4,29,347,51
1116,13,10,49,203,62
1117,13,0,87,392,48
1118,13,3,39,382,58
1119,13,21,49,21,44
1120,13,21,29,213,32
1121,13,21,31,173,63
1122,13,21,68,35,60
1123,13,18,48,173,55
1124,13,24,104,313,60
1125,13,21,41,245,35
1126,13,21,25,145,61
1127,13,24,48,7,43
1128,13,10,31,13,59
1129,13,24,59,325,53
1130,13,21,71,300,62
1131,13,24,38,230,56
1132,13,24,53,57,52
1133,13,24,37,206,50
