Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
6090,4742,29,7,38,210,33,46,1163,592,5920,5824,145,2442,6001
3283,2450,29,10,56,255,62,52,2467,2920,63,3459,261,3906,5276
4590,3945,29,10,61,251,64,58,563,4411,81,5759,178,62,4906
6074,4232,29,22,82,7,60,64,1298,5995,6003,6337,678,4005,4585
4788,5316,29,19,25,243,48,38,772,832,6267,4056,626,1783,5454
4663,3632,29,10,47,251,53,65,713,855,2091,4590,1217,1059,3522
1343,477,29,22,114,5,62,71,173,2945,42,2519,908,4831,449
2967,2840,29,22,30,12,54,70,853,4150,1798,4184,627,1974,209
3271,4641,29,17,57,170,47,47,847,2959,1292,49,289,5887,5916
284,5095,29,19,25,114,34,43,1421,1588,5353,3429,930,5519,6090
4391,270,29,19,71,12,62,77,1033,5569,5618,3350,102,5172,4648
2300,2480,29,22,61,12,60,61,2376,5308,7,1323,88,3856,1814
1566,1907,29,10,83,333,59,72,563,524,8,6347,97,2825,1355
4810,6006,29,10,96,47,54,49,2615,2433,4836,4067,64,2176,4432
3272,3357,29,16,43,164,53,62,1045,370,1453,4939,264,4921,5787
5291,2050,29,10,104,34,61,69,1731,126,5481,783,78,4937,4580
270,5219,29,10,82,68,35,56,1473,3414,2849,4778,684,5794,1564
1242,2927,29,5,29,156,36,40,1072,6331,4947,837,277,2484,2228
6046,2661,29,19,60,12,54,45,1539,800,4493,4149,1157,3479,875
6276,3906,29,10,103,348,64,84,2376,5964,64,3611,413,5039,3869
4834,1923,29,10,79,159,65,85,1637,5045,41,5475,145,5356,1362
4076,5288,29,10,57,336,56,46,1842,2026,5076,2788,44,6214,3208
4661,2828,29,10,44,34,63,57,1539,2672,39,13,85,2392,3717
1919,3254,29,7,56,255,60,85,735,2958,6,5935,146,4406,3121
5966,4302,29,19,51,195,51,49,967,5554,5088,2056,323,3214,611
63,1724,29,22,86,17,59,74,1050,4049,4294,2600,176,4132,5444
496,4751,29,10,85,255,63,78,1637,3738,57,2927,255,1204,4021
5432,3376,29,16,52,286,52,50,1291,2280,4419,4230,666,3596,3890
4471,6076,29,10,40,321,63,82,497,4368,6317,1355,131,959,6374
2865,4591,56,22,51,176,59,64,1199,1853,5950,4309,118,5989,4697
5397,405,56,18,81,334,62,87,772,4026,5460,171,84,2910,3861
4986,5581,56,10,40,251,63,69,335,3543,26,5383,91,5022,513
4886,3091,56,10,44,7,38,37,2300,3760,1770,4449,396,726,1371
6204,5758,56,19,43,41,47,43,2509,5934,4490,3037,1029,4710,1718
2310,488,56,22,47,34,53,79,690,351,5027,2373,60,438,13
282,4209,56,18,41,105,35,48,1207,52,3270,3777,594,1419,5353
2862,787,56,10,111,172,61,61,1687,4172,16,4845,103,1217,3809
4646,3755,56,10,36,286,61,64,541,1755,6090,5216,377,1110,2940
4306,2065,56,18,54,7,31,24,1823,1420,6302,3253,154,3293,2513
2773,2600,56,10,62,192,58,87,497,5246,5283,6302,219,3493,4864
764,5842,56,22,56,299,31,49,372,3619,4354,5965,108,4458,3898
4446,1216,56,19,62,187,59,72,1983,5137,4674,4484,954,601,5028
2390,4287,56,22,86,7,47,77,2041,1286,5281,4782,680,1809,1726
2018,2952,56,10,31,175,49,59,1625,3827,4060,3233,944,1206,3687
5129,3267,56,22,97,13,51,61,366,1328,4128,4278,424,3324,1591
208,1968,56,22,84,3,57,57,1044,1065,3690,4993,62,1200,3290
739,1972,56,10,23,187,44,12,947,4525,3649,4428,671,5477,5940
5815,2971,56,10,34,296,39,58,71,2853,5131,2205,839,5386,260
1687,5504,56,18,20,366,39,40,332,5430,1062,2086,844,5805,4754
1040,1552,56,22,42,343,55,71,71,189,4879,2177,1074,3957,1137
